ID,Age,Salary,City
0,25,50000,NY
1,30,75000,LA
2,45,120000,NY
3,60,45000,SF
4,25,50000,NY
5,30,75000,LA
6,45,120000,NY
7,60,45000,SF
8,25,50000,NY
9,30,75000,LA
10,45,120000,NY
11,60,45000,SF
12,25,50000,NY
13,30,75000,LA
14,45,120000,NY
15,60,45000,SF
16,25,50000,NY
17,30,75000,LA
18,45,120000,NY
19,60,45000,SF
20,25,50000,NY
21,30,75000,LA
22,45,120000,NY
23,60,45000,SF
24,25,50000,NY
25,30,75000,LA
26,45,120000,NY
27,60,45000,SF
28,25,50000,NY
29,30,75000,LA
30,45,120000,NY
31,60,45000,SF
32,25,50000,NY
33,30,75000,LA
34,45,120000,NY
35,60,45000,SF
36,25,50000,NY
37,30,75000,LA
38,45,120000,NY
39,60,45000,SF
40,25,50000,NY
41,30,75000,LA
42,45,120000,NY
43,60,45000,SF
44,25,50000,NY
45,30,75000,LA
46,45,120000,NY
47,60,45000,SF
48,25,50000,NY
49,30,75000,LA
50,45,120000,NY
51,60,45000,SF
52,25,50000,NY
53,30,75000,LA
54,45,120000,NY
55,60,45000,SF
56,25,50000,NY
57,30,75000,LA
58,45,120000,NY
59,60,45000,SF
60,25,50000,NY
61,30,75000,LA
62,45,120000,NY
63,60,45000,SF
64,25,50000,NY
65,30,75000,LA
66,45,120000,NY
67,60,45000,SF
68,25,50000,NY
69,30,75000,LA
70,45,120000,NY
71,60,45000,SF
72,25,50000,NY
73,30,75000,LA
74,45,120000,NY
75,60,45000,SF
76,25,50000,NY
77,30,75000,LA
78,45,120000,NY
79,60,45000,SF
80,25,50000,NY
81,30,75000,LA
82,45,120000,NY
83,60,45000,SF
84,25,50000,NY
85,30,75000,LA
86,45,120000,NY
87,60,45000,SF
88,25,50000,NY
89,30,75000,LA
90,45,120000,NY
91,60,45000,SF
92,25,50000,NY
93,30,75000,LA
94,45,120000,NY
95,60,45000,SF
96,25,50000,NY
97,30,75000,LA
98,45,120000,NY
99,60,45000,SF
