age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category
67,84.1,1.68,8.049607705646226,False,Griffithfurt,student,High
30,118.4,1.82,32.09292132285329,True,Bryantfurt,student,Medium
49,86.0,1.64,34.673991408980896,False,Lake Beth,unemployed,Low
24,118.5,1.62,7.704246804211878,False,Vargasville,business_owner,High
45,59.1,1.66,15.038372833391364,False,Port Scottberg,retired,Medium
31,82.3,1.61,47.48841828147832,False,West Christineton,business_owner,High
56,104.7,1.78,31.69712140289108,False,West Rodneyside,unemployed,High
38,69.9,1.67,6.318987882601272,False,Fieldsstad,business_owner,High
30,56.8,1.9,4.8549959989143945,False,Dakotamouth,business_owner,Medium
73,107.3,1.73,5.45087135858278,False,Josephshire,retired,High
23,93.4,1.86,44.84410093849272,False,North Jennifer,freelancer,Medium
29,108.5,1.57,13.186394074243626,False,West Toddbury,retired,Medium
29,82.9,1.64,42.141480194845926,False,Wilkinsonbury,private_job,Medium
22,112.1,1.72,32.40675990299955,True,Lutzstad,business_owner,Low
26,109.1,1.9,23.79640484308089,False,New Charlotte,government_job,Medium
20,74.4,1.86,5.8235231936969,True,South Zacharyfurt,private_job,Low
65,98.9,1.83,0.642038722594926,True,Susanside,student,High
68,94.1,1.7,0.5718723489668543,True,Ramirezmouth,business_owner,Low
75,52.0,1.86,6.195211646466361,False,Davidberg,government_job,Medium
42,111.4,1.88,29.57015112873158,False,Hayesview,government_job,Medium
36,57.2,1.54,2.563432556145476,True,Lake Markmouth,retired,Low
47,90.7,1.57,31.413298054971207,False,Kennethmouth,private_job,Medium
19,117.4,1.88,43.71256777091799,True,Port Laura,government_job,Low
56,119.5,1.64,4.911691423822681,True,Mezaburgh,freelancer,Low
38,115.2,1.56,4.226182058670887,False,East Colefort,unemployed,High
74,115.4,1.7,19.69614242342781,False,New Conniechester,retired,Medium
49,93.7,1.69,5.456705502661442,False,Adrienneshire,retired,High
71,52.1,1.78,28.535341119832367,True,Robertburgh,government_job,Low
31,51.6,1.62,2.803607625314813,False,South Jeffrey,government_job,Medium
45,53.6,1.6,0.8996499519149037,False,Scottmouth,retired,Low
19,68.4,1.88,26.58674674821164,False,Lewisborough,unemployed,Low
69,87.9,1.7,42.05820125973437,False,Berrychester,unemployed,Low
27,107.6,1.81,8.518086599748113,False,New Michaeltown,retired,Low
72,51.9,1.75,5.666497333474699,False,Jeffreyfort,freelancer,Low
26,57.2,1.78,25.118197880838743,True,North Markburgh,student,Medium
37,95.3,1.75,46.293009957470034,True,East Kathleenland,private_job,Medium
64,81.8,1.85,9.638767540200956,True,Hensleyton,retired,Low
39,83.1,1.68,47.6104123250388,True,Jefferybury,private_job,Medium
60,118.4,1.54,38.27858640082464,True,West Summer,student,High
37,69.2,1.64,1.0019197913030922,False,South Alan,freelancer,Medium
54,52.6,1.74,17.38349158238324,False,Michaelview,unemployed,Medium
39,98.4,1.55,2.072305797116919,False,Samanthachester,retired,Medium
34,100.1,1.7,17.537578961688975,False,New Larry,retired,Medium
41,118.7,1.78,20.91926892897869,True,Morrisside,student,High
48,95.7,1.65,24.114064760843405,False,Port Kristin,student,Low
72,80.8,1.81,8.717923973315191,True,West Claudiaview,student,High
48,63.1,1.55,0.608713461153387,False,North Jimmytown,government_job,Medium
26,83.7,1.82,25.504618117326437,True,Westtown,student,Medium
60,84.5,1.85,46.14270349021246,False,West Tina,unemployed,Low
33,74.5,1.75,17.391046722398873,False,Chrisfurt,private_job,High
37,55.0,1.73,0.7582158281273619,False,Jeffreyberg,business_owner,Medium
70,118.0,1.86,34.047574039511154,False,Dennisland,student,Low
47,72.1,1.67,4.113588834141738,True,North Randall,retired,Medium
27,73.2,1.73,34.12557593225325,True,Alexisbury,freelancer,High
40,74.2,1.59,2.677268318590827,False,Blackwellmouth,retired,Medium
41,90.3,1.64,11.451019311807094,True,Patriciachester,government_job,Low
42,52.8,1.55,4.342190396467696,False,Lewisstad,student,Low
31,111.2,1.88,2.3819496336848074,False,East Racheltown,retired,Medium
71,105.8,1.85,14.131639757630833,True,New Kimberly,freelancer,Medium
